id,loss
4,1408.3017578125
6,1788.252197265625
9,8390.8271484375
12,5330.533203125
15,828.3326416015625
17,2308.48095703125
21,2204.645263671875
28,890.63232421875
32,2282.485107421875
43,2702.7333984375
46,2317.016845703125
50,1009.7055053710938
54,1177.845458984375
62,1885.5035400390625
70,2522.75048828125
71,4905.845703125
75,2781.392333984375
77,2512.5185546875
81,2423.464111328125
83,2354.729736328125
87,1893.1268310546875
97,1755.8321533203125
103,997.282958984375
119,1187.56640625
120,1800.8465576171875
127,1082.2843017578125
138,4409.29248046875
141,3730.350830078125
148,722.6665649414062
150,2375.871826171875
151,2185.09521484375
158,1496.8812255859375
160,5750.388671875
165,2658.185791015625
168,3709.107421875
169,3293.85693359375
177,2670.782958984375
178,3196.254150390625
184,1896.4503173828125
194,11206.7822265625
198,1590.5562744140625
203,3848.754638671875
211,2234.32275390625
217,1267.14306640625
219,1365.8399658203125
221,3474.546142578125
227,1876.20849609375
230,1536.07470703125
235,1749.0352783203125
240,713.9949951171875
243,2830.3330078125
249,6332.81982421875
253,2640.433349609375
258,1406.5987548828125
261,1645.147705078125
263,3662.2109375
264,2615.85400390625
265,4188.7197265625
268,1763.017333984375
271,1075.822021484375
274,5384.1484375
275,670.7688598632812
279,1575.2052001953125
282,1421.0491943359375
286,2990.386474609375
288,1259.259033203125
294,2375.9306640625
296,1016.061767578125
297,1432.6932373046875
300,770.621826171875
303,8919.451171875
314,1094.0615234375
315,4581.2177734375
321,2517.620361328125
323,4192.4970703125
330,3273.806640625
341,1803.0396728515625
342,3841.794921875
352,1513.095458984375
353,3908.745849609375
360,4661.40771484375
361,2521.460205078125
362,4106.26025390625
366,1267.0943603515625
372,3603.539794921875
376,3091.135498046875
377,1865.5751953125
379,1459.7596435546875
380,4580.64453125
387,2030.5318603515625
392,1845.3680419921875
394,9830.095703125
395,1543.7913818359375
397,1553.4764404296875
407,5529.48095703125
411,8074.8203125
416,2621.401611328125
417,1536.4052734375
419,2760.726318359375
428,5582.2861328125
431,1861.26123046875
436,11202.734375
438,1457.4471435546875
445,7259.7490234375
446,7649.58984375
455,1288.89013671875
456,1360.2264404296875
461,833.6322021484375
463,1790.931396484375
464,3536.1279296875
466,1583.40966796875
467,1362.6658935546875
470,1368.63134765625
475,1394.0804443359375
482,3414.30126953125
490,3200.350341796875
496,1808.3182373046875
497,3629.476806640625
508,3019.27392578125
510,2000.4783935546875
512,1638.8907470703125
513,3001.0087890625
523,1557.171875
531,4309.021484375
532,2173.98095703125
533,1260.1600341796875
537,1177.8687744140625
544,4457.18310546875
547,2811.577392578125
556,7160.5576171875
565,1259.1539306640625
566,1226.0902099609375
571,1428.907958984375
573,1335.1168212890625
574,960.61669921875
581,2021.4549560546875
585,2168.347900390625
589,1911.4429931640625
597,1615.09765625
601,3461.455322265625
602,1612.8780517578125
613,1579.7396240234375
616,1572.4249267578125
619,2235.559326171875
622,2400.332763671875
623,1565.0023193359375
629,1536.5115966796875
634,1526.9591064453125
638,939.218994140625
642,1068.9481201171875
643,2023.311279296875
645,1071.1104736328125
648,6134.310546875
652,1332.07421875
664,1177.8189697265625
666,2103.359130859375
672,858.9777221679688
676,2174.847412109375
678,4176.81591796875
682,1771.5064697265625
686,3189.934814453125
688,2021.7335205078125
689,1276.7147216796875
690,1819.288330078125
692,11066.2783203125
695,1663.316650390625
697,3343.443603515625
698,2214.948486328125
706,2326.9814453125
708,1528.6634521484375
712,2977.365234375
715,4306.20751953125
717,1432.0672607421875
725,3042.15087890625
729,1135.883056640625
737,1437.8809814453125
739,5764.9697265625
747,3467.01416015625
753,2274.488525390625
758,2305.966796875
759,2139.5703125
763,1595.596435546875
773,4860.3408203125
774,2023.521240234375
776,1393.495849609375
788,3362.0205078125
790,2454.791748046875
794,1082.25390625
801,2822.382568359375
802,1244.763427734375
805,1349.236572265625
809,4992.7568359375
812,1441.8941650390625
825,2338.191162109375
